Normalization,Model,Train_Accuracy,precision,recall,Train_F1,Validation,Test_Accuracy,Test_Precision,Test_Recall,Test_F1,TP,FP,TN,FN
MinMax,Gradient Boosting,0.9039673702128892,0.8900500389097381,0.8104025650160314,0.8478531791287448,K-Fold (5),0.8837658017298736,0.6224263541336712,0.7797619047619048,0.6922670424519993,1965,1192,11318,555
Z-Score,Gradient Boosting,0.9039673702128892,0.8900500389097381,0.8104025650160314,0.8478531791287448,K-Fold (5),0.8837658017298736,0.6224263541336712,0.7797619047619048,0.6922670424519993,1965,1192,11318,555
MinMax,XGBoost,0.9026015591095359,0.8977814823778525,0.7963662272889206,0.8437233613514659,K-Fold (5),0.8832335329341318,0.625040863027133,0.7587301587301587,0.6854274959670191,1912,1147,11363,608
Z-Score,XGBoost,0.9026015591095359,0.8977814823778525,0.7963662272889206,0.8437233613514659,K-Fold (5),0.8832335329341318,0.625040863027133,0.7587301587301587,0.6854274959670191,1912,1147,11363,608
MinMax,LightGBM,0.8982633122855264,0.8895816319662068,0.7908086925543285,0.8364703638125368,K-Fold (5),0.8671989354624086,0.5776986951364176,0.773015873015873,0.6612355736591989,1948,1424,11086,572
Z-Score,LightGBM,0.897484442446619,0.8882393724027693,0.789668685429284,0.8353313068747553,K-Fold (5),0.868063872255489,0.5794613791062444,0.776984126984127,0.6638413290388201,1958,1421,11089,562
MinMax,Logistic Regression,0.8813395012384658,0.8135110395862949,0.8510865692910581,0.8270631216134718,K-Fold (5),0.8492348636061211,0.5325975359342916,0.8234126984126984,0.6468204488778054,2075,1821,10689,445
Z-Score,Logistic Regression,0.8791937809683252,0.8117629574398728,0.8485928037050231,0.8243090926491913,K-Fold (5),0.8528942115768463,0.5402029664324747,0.8238095238095238,0.6525223950966526,2076,1767,10743,444
Z-Score,Random Forest,0.8754504720098588,0.8184071010125568,0.8023512646954043,0.8088236311943167,K-Fold (5),0.8449101796407186,0.5264040234702431,0.7476190476190476,0.617806197737334,1884,1695,10815,636
MinMax,Random Forest,0.8751430399249751,0.8186419837625118,0.800783754898468,0.8082091697471803,K-Fold (5),0.8458416500332668,0.5284393387503502,0.7484126984126984,0.6194777467564461,1886,1683,10827,634
Z-Score,XGBoost,0.9354066985645934,0.8822525597269625,0.9209120057000356,0.9011678577653826,Hold-out,0.8832335329341318,0.625040863027133,0.7587301587301587,0.6854274959670191,1912,1147,11363,608
MinMax,XGBoost,0.9354066985645934,0.8822525597269625,0.9209120057000356,0.9011678577653826,Hold-out,0.8832335329341318,0.625040863027133,0.7587301587301587,0.6854274959670191,1912,1147,11363,608
MinMax,LightGBM,0.9352927773980405,0.8832591578226635,0.9191307445671535,0.9008379888268156,Hold-out,0.8671989354624086,0.5776986951364176,0.773015873015873,0.6612355736591989,1948,1424,11086,572
Z-Score,LightGBM,0.9346092503987241,0.8814485821660403,0.9191307445671535,0.8998953610045344,Hold-out,0.868063872255489,0.5794613791062444,0.776984126984127,0.6638413290388201,1958,1421,11089,562
Z-Score,Gradient Boosting,0.9331282752335384,0.8673064195896757,0.9337370858567866,0.8992966203465431,Hold-out,0.8837658017298736,0.6224263541336712,0.7797619047619048,0.6922670424519993,1965,1192,11318,555
MinMax,Gradient Boosting,0.9331282752335384,0.8673064195896757,0.9337370858567866,0.8992966203465431,Hold-out,0.8837658017298736,0.6224263541336712,0.7797619047619048,0.6922670424519993,1965,1192,11318,555
Z-Score,Random Forest,0.9259512417407154,0.8717683557394003,0.9009618810117563,0.886124737210932,Hold-out,0.8449101796407186,0.5264040234702431,0.7476190476190476,0.617806197737334,1884,1695,10815,636
MinMax,Random Forest,0.9256094782410572,0.8713793103448276,0.9002493765586035,0.8855791133695462,Hold-out,0.8458416500332668,0.5284393387503502,0.7484126984126984,0.6194777467564461,1886,1683,10827,634
MinMax,Logistic Regression,0.869332421964001,0.7276467361492046,0.9451371571072319,0.8222532155586549,Hold-out,0.8492348636061211,0.5325975359342916,0.8234126984126984,0.6468204488778054,2075,1821,10689,445
Z-Score,Logistic Regression,0.8667122351332878,0.7239398084815322,0.942643391521197,0.8189415041782729,Hold-out,0.8528942115768463,0.5402029664324747,0.8238095238095238,0.6525223950966526,2076,1767,10743,444
